Indicator,Year,WHO region,"Countries, territories and areas",Gender,Display Value,Numeric
Healthy life expectancy (HALE) at birth (years),2010,Europe,Denmark,Male,68.8,68.77981
Healthy life expectancy (HALE) at age 60 (years),2010,Europe,Denmark,Male,16.4,16.43535
Healthy life expectancy (HALE) at age 60 (years),2010,Europe,Denmark,Female,18.0,17.96331
Healthy life expectancy (HALE) at birth (years),2015,Europe,Denmark,Female,70.9,70.93359
Healthy life expectancy (HALE) at age 60 (years),2010,Europe,Denmark,Both,17.2,17.23068
Healthy life expectancy (HALE) at birth (years),2015,Europe,Denmark,Both,70.5,70.52639
Healthy life expectancy (HALE) at age 60 (years),2010,Americas,Dominican Republic,Male,15.6,15.64768
Healthy life expectancy (HALE) at birth (years),2015,Americas,Dominican Republic,Male,61.2,61.24905
Healthy life expectancy (HALE) at age 60 (years),2015,Americas,Dominican Republic,Male,14.5,14.54579
Healthy life expectancy (HALE) at birth (years),2015,Americas,Dominican Republic,Female,65.4,65.38921
Healthy life expectancy (HALE) at age 60 (years),2015,Americas,Dominican Republic,Female,17.0,17.00721
Healthy life expectancy (HALE) at birth (years),2015,Americas,Dominican Republic,Both,63.2,63.21027
Healthy life expectancy (HALE) at age 60 (years),2015,Americas,Dominican Republic,Both,15.7,15.74427
Healthy life expectancy (HALE) at birth (years),2015,Africa,Algeria,Male,66.3,66.32597
Healthy life expectancy (HALE) at age 60 (years),2015,Africa,Algeria,Male,15.8,15.81455
Healthy life expectancy (HALE) at birth (years),2019,Africa,Algeria,Male,66.7,66.7224
Healthy life expectancy (HALE) at age 60 (years),2015,Africa,Algeria,Female,16.0,15.99016
Healthy life expectancy (HALE) at birth (years),2019,Africa,Algeria,Female,66.1,66.08149
Healthy life expectancy (HALE) at age 60 (years),2015,Africa,Algeria,Both,15.9,15.88955
Healthy life expectancy (HALE) at birth (years),2019,Africa,Algeria,Both,66.4,66.38806
Healthy life expectancy (HALE) at birth (years),2019,Americas,Ecuador,Male,67.7,67.70583
Healthy life expectancy (HALE) at age 60 (years),2019,Americas,Ecuador,Male,17.0,16.96156
Healthy life expectancy (HALE) at birth (years),2019,Americas,Ecuador,Female,69.3,69.26449
Healthy life expectancy (HALE) at age 60 (years),2019,Americas,Ecuador,Female,18.2,18.19527
Healthy life expectancy (HALE) at birth (years),2019,Americas,Ecuador,Both,68.5,68.48179
Healthy life expectancy (HALE) at age 60 (years),2019,Americas,Ecuador,Both,17.6,17.59557
Healthy life expectancy (HALE) at age 60 (years),2019,Eastern Mediterranean,Egypt,Male,12.7,12.73005
Healthy life expectancy (HALE) at birth (years),2000,Eastern Mediterranean,Egypt,Female,62.2,62.16456
Healthy life expectancy (HALE) at age 60 (years),2019,Eastern Mediterranean,Egypt,Female,14.0,13.98842
Healthy life expectancy (HALE) at birth (years),2000,Eastern Mediterranean,Egypt,Both,61.2,61.20637
Healthy life expectancy (HALE) at age 60 (years),2019,Eastern Mediterranean,Egypt,Both,13.4,13.37041
Healthy life expectancy (HALE) at birth (years),2000,Africa,Eritrea,Male,44.6,44.59597
Healthy life expectancy (HALE) at birth (years),2000,Africa,Eritrea,Female,49.9,49.85559
Healthy life expectancy (HALE) at age 60 (years),2000,Africa,Eritrea,Female,11.3,11.27749
Healthy life expectancy (HALE) at birth (years),2000,Africa,Eritrea,Both,47.0,47.00956
Healthy life expectancy (HALE) at age 60 (years),2000,Africa,Eritrea,Both,9.9,9.87822
Healthy life expectancy (HALE) at birth (years),2000,Europe,Spain,Male,67.1,67.13502
Healthy life expectancy (HALE) at age 60 (years),2000,Europe,Spain,Male,15.7,15.73615
Healthy life expectancy (HALE) at age 60 (years),2000,Europe,Spain,Female,18.7,18.70385
Healthy life expectancy (HALE) at birth (years),2010,Europe,Spain,Female,72.2,72.21632
Healthy life expectancy (HALE) at age 60 (years),2000,Europe,Spain,Both,17.3,17.29211
Healthy life expectancy (HALE) at birth (years),2010,Europe,Spain,Both,71.0,71.03246
Healthy life expectancy (HALE) at age 60 (years),2000,Europe,Estonia,Male,11.8,11.79778
Healthy life expectancy (HALE) at birth (years),2010,Europe,Estonia,Male,63.3,63.26046
Healthy life expectancy (HALE) at age 60 (years),2010,Europe,Estonia,Male,13.4,13.40296
Healthy life expectancy (HALE) at birth (years),2010,Europe,Estonia,Female,70.2,70.16641
Healthy life expectancy (HALE) at age 60 (years),2010,Europe,Estonia,Female,17.9,17.86848
Healthy life expectancy (HALE) at birth (years),2010,Europe,Estonia,Both,66.9,66.88036
Healthy life expectancy (HALE) at age 60 (years),2010,Europe,Estonia,Both,16.0,16.00286
Healthy life expectancy (HALE) at age 60 (years),2010,Africa,Ethiopia,Male,12.5,12.45171
Healthy life expectancy (HALE) at birth (years),2015,Africa,Ethiopia,Male,57.4,57.40776
Healthy life expectancy (HALE) at age 60 (years),2010,Africa,Ethiopia,Female,13.5,13.51678
Healthy life expectancy (HALE) at birth (years),2015,Africa,Ethiopia,Female,59.3,59.2542
Healthy life expectancy (HALE) at age 60 (years),2010,Africa,Ethiopia,Both,13.0,12.98515
Healthy life expectancy (HALE) at birth (years),2015,Africa,Ethiopia,Both,58.3,58.3223
Healthy life expectancy (HALE) at birth (years),2015,Europe,Finland,Male,69.4,69.44212
Healthy life expectancy (HALE) at age 60 (years),2015,Europe,Finland,Male,17.0,17.00725
Healthy life expectancy (HALE) at birth (years),2015,Europe,Finland,Female,72.0,71.97398
Healthy life expectancy (HALE) at age 60 (years),2015,Europe,Finland,Female,19.4,19.43632
Healthy life expectancy (HALE) at birth (years),2015,Europe,Finland,Both,70.7,70.73011
Healthy life expectancy (HALE) at age 60 (years),2015,Europe,Finland,Both,18.3,18.27993
Healthy life expectancy (HALE) at age 60 (years),2015,Western Pacific,Fiji,Male,11.0,11.02035
Healthy life expectancy (HALE) at birth (years),2019,Western Pacific,Fiji,Male,58.5,58.53872
Healthy life expectancy (HALE) at age 60 (years),2015,Western Pacific,Fiji,Female,12.5,12.47472
Healthy life expectancy (HALE) at birth (years),2019,Western Pacific,Fiji,Female,60.7,60.74465
Healthy life expectancy (HALE) at age 60 (years),2015,Western Pacific,Fiji,Both,11.7,11.74527
Healthy life expectancy (HALE) at birth (years),2019,Western Pacific,Fiji,Both,59.6,59.59221
Healthy life expectancy (HALE) at birth (years),2019,Europe,France,Male,71.1,71.06204
Healthy life expectancy (HALE) at age 60 (years),2019,Europe,France,Male,18.5,18.47915
Healthy life expectancy (HALE) at birth (years),2019,Europe,France,Female,73.1,73.05795
Healthy life expectancy (HALE) at age 60 (years),2019,Europe,France,Female,20.8,20.82057
Healthy life expectancy (HALE) at birth (years),2019,Europe,France,Both,72.1,72.08364
Healthy life expectancy (HALE) at age 60 (years),2019,Europe,France,Both,19.7,19.70331
Healthy life expectancy (HALE) at birth (years),2000,Western Pacific,Micronesia (Federated States of),Male,52.9,52.90278
Healthy life expectancy (HALE) at age 60 (years),2019,Western Pacific,Micronesia (Federated States of),Male,10.7,10.67585
Healthy life expectancy (HALE) at birth (years),2000,Western Pacific,Micronesia (Federated States of),Female,56.3,56.25114
Healthy life expectancy (HALE) at age 60 (years),2019,Western Pacific,Micronesia (Federated States of),Female,11.6,11.62215
Healthy life expectancy (HALE) at birth (years),2000,Western Pacific,Micronesia (Federated States of),Both,54.5,54.49797
Healthy life expectancy (HALE) at birth (years),2000,Africa,Gabon,Male,49.6,49.644
Healthy life expectancy (HALE) at age 60 (years),2000,Africa,Gabon,Male,10.1,10.06282
Healthy life expectancy (HALE) at birth (years),2000,Africa,Gabon,Female,51.4,51.39027
Healthy life expectancy (HALE) at age 60 (years),2000,Africa,Gabon,Female,12.5,12.49871
Healthy life expectancy (HALE) at birth (years),2000,Africa,Gabon,Both,50.5,50.50198
Healthy life expectancy (HALE) at age 60 (years),2000,Africa,Gabon,Both,11.3,11.3187
Healthy life expectancy (HALE) at age 60 (years),2000,Europe,United Kingdom of Great Britain and Northern Ireland,Male,15.1,15.10099
Healthy life expectancy (HALE) at birth (years),2010,Europe,United Kingdom of Great Britain and Northern Ireland,Male,68.7,68.68428
Healthy life expectancy (HALE) at age 60 (years),2000,Europe,United Kingdom of Great Britain and Northern Ireland,Female,17.3,17.28673
Healthy life expectancy (HALE) at birth (years),2010,Europe,United Kingdom of Great Britain and Northern Ireland,Female,70.2,70.17844
Healthy life expectancy (HALE) at age 60 (years),2000,Europe,United Kingdom of Great Britain and Northern Ireland,Both,16.3,16.26006
Healthy life expectancy (HALE) at birth (years),2010,Europe,United Kingdom of Great Britain and Northern Ireland,Both,69.4,69.44314
Healthy life expectancy (HALE) at birth (years),2010,Europe,Georgia,Male,60.5,60.51513
Healthy life expectancy (HALE) at age 60 (years),2010,Europe,Georgia,Male,12.5,12.45757
Healthy life expectancy (HALE) at birth (years),2010,Europe,Georgia,Female,66.9,66.89714
Healthy life expectancy (HALE) at age 60 (years),2010,Europe,Georgia,Female,15.5,15.47471
Healthy life expectancy (HALE) at birth (years),2010,Europe,Georgia,Both,63.7,63.70662
Healthy life expectancy (HALE) at age 60 (years),2010,Europe,Georgia,Both,14.1,14.10885
Healthy life expectancy (HALE) at age 60 (years),2010,Africa,Ghana,Male,11.1,11.06345
Healthy life expectancy (HALE) at birth (years),2015,Africa,Ghana,Male,55.1,55.12188
Healthy life expectancy (HALE) at age 60 (years),2010,Africa,Ghana,Female,13.2,13.17205
Healthy life expectancy (HALE) at birth (years),2015,Africa,Ghana,Female,58.0,58.01972
Healthy life expectancy (HALE) at age 60 (years),2010,Africa,Ghana,Both,12.1,12.09484
Healthy life expectancy (HALE) at birth (years),2015,Africa,Ghana,Both,56.5,56.48829
Healthy life expectancy (HALE) at age 60 (years),2015,Africa,Ghana,Both,12.6,12.58609
Healthy life expectancy (HALE) at birth (years),2015,Africa,Guinea,Male,51.1,51.05723
Healthy life expectancy (HALE) at age 60 (years),2015,Africa,Guinea,Male,11.3,11.29857
Healthy life expectancy (HALE) at birth (years),2015,Africa,Guinea,Female,51.9,51.91645
Healthy life expectancy (HALE) at age 60 (years),2015,Africa,Guinea,Female,12.2,12.2431
Healthy life expectancy (HALE) at age 60 (years),2015,Africa,Guinea,Both,11.9,11.8519
Healthy life expectancy (HALE) at birth (years),2019,Africa,Guinea,Both,53.3,53.32006
Healthy life expectancy (HALE) at age 60 (years),2015,Africa,Gambia,Male,11.9,11.94551
Healthy life expectancy (HALE) at birth (years),2019,Africa,Gambia,Male,56.4,56.41885
Healthy life expectancy (HALE) at age 60 (years),2015,Africa,Gambia,Female,13.0,13.03191
Healthy life expectancy (HALE) at birth (years),2019,Africa,Gambia,Female,57.7,57.7443
Healthy life expectancy (HALE) at birth (years),2019,Africa,Gambia,Both,57.0,57.03974
Healthy life expectancy (HALE) at age 60 (years),2019,Africa,Gambia,Both,12.6,12.63924
Healthy life expectancy (HALE) at birth (years),2019,Africa,Guinea-Bissau,Male,51.1,51.07508
Healthy life expectancy (HALE) at age 60 (years),2019,Africa,Guinea-Bissau,Male,10.5,10.46416
Healthy life expectancy (HALE) at birth (years),2019,Africa,Guinea-Bissau,Female,54.1,54.11775
Healthy life expectancy (HALE) at age 60 (years),2019,Africa,Guinea-Bissau,Female,12.1,12.08393
Healthy life expectancy (HALE) at age 60 (years),2019,Africa,Guinea-Bissau,Both,11.4,11.37914
Healthy life expectancy (HALE) at birth (years),2000,Africa,Equatorial Guinea,Male,45.8,45.81385
Healthy life expectancy (HALE) at age 60 (years),2019,Africa,Equatorial Guinea,Male,12.3,12.2792
Healthy life expectancy (HALE) at birth (years),2000,Africa,Equatorial Guinea,Female,47.9,47.88275
Healthy life expectancy (HALE) at age 60 (years),2019,Africa,Equatorial Guinea,Female,13.6,13.6022
Healthy life expectancy (HALE) at birth (years),2000,Africa,Equatorial Guinea,Both,46.8,46.81095
Healthy life expectancy (HALE) at birth (years),2000,Europe,Greece,Male,67.5,67.46355
Healthy life expectancy (HALE) at age 60 (years),2000,Europe,Greece,Male,15.7,15.74576
Healthy life expectancy (HALE) at birth (years),2000,Europe,Greece,Female,69.8,69.8172
Healthy life expectancy (HALE) at age 60 (years),2000,Europe,Greece,Female,17.7,17.69952
Healthy life expectancy (HALE) at birth (years),2000,Europe,Greece,Both,68.6,68.63454
Healthy life expectancy (HALE) at age 60 (years),2000,Europe,Greece,Both,16.8,16.75685
Healthy life expectancy (HALE) at birth (years),2010,Europe,Greece,Both,70.0,70.03807
Healthy life expectancy (HALE) at age 60 (years),2000,Americas,Grenada,Male,11.9,11.87424
Healthy life expectancy (HALE) at birth (years),2010,Americas,Grenada,Male,61.8,61.77808
Healthy life expectancy (HALE) at age 60 (years),2000,Americas,Grenada,Female,16.2,16.23228
Healthy life expectancy (HALE) at birth (years),2010,Americas,Grenada,Female,65.7,65.69602
Healthy life expectancy (HALE) at birth (years),2010,Americas,Grenada,Both,63.5,63.47808
Healthy life expectancy (HALE) at age 60 (years),2010,Americas,Grenada,Both,13.7,13.74447
Healthy life expectancy (HALE) at birth (years),2010,Americas,Guatemala,Male,57.8,57.82932
Healthy life expectancy (HALE) at birth (years),2010,Eastern Mediterranean,Afghanistan,Male,51.5,51.50902
Healthy life expectancy (HALE) at age 60 (years),2010,Eastern Mediterranean,Afghanistan,Male,11.1,11.13451
Healthy life expectancy (HALE) at age 60 (years),2010,Eastern Mediterranean,Afghanistan,Female,10.7,10.71348
Healthy life expectancy (HALE) at birth (years),2015,Eastern Mediterranean,Afghanistan,Female,52.4,52.44153
Healthy life expectancy (HALE) at age 60 (years),2010,Eastern Mediterranean,Afghanistan,Both,10.9,10.90975
Healthy life expectancy (HALE) at birth (years),2015,Eastern Mediterranean,Afghanistan,Both,52.6,52.60495
Healthy life expectancy (HALE) at age 60 (years),2010,Africa,Angola,Male,10.8,10.84583
Healthy life expectancy (HALE) at birth (years),2015,Africa,Angola,Male,52.2,52.18073
Healthy life expectancy (HALE) at birth (years),2015,Africa,Angola,Female,55.3,55.27776
Healthy life expectancy (HALE) at age 60 (years),2015,Africa,Angola,Female,13.6,13.58552
Healthy life expectancy (HALE) at birth (years),2015,Africa,Angola,Both,53.7,53.66165
Healthy life expectancy (HALE) at age 60 (years),2015,Africa,Angola,Both,12.4,12.43553
Healthy life expectancy (HALE) at birth (years),2015,Europe,Albania,Male,68.0,67.99379
Healthy life expectancy (HALE) at age 60 (years),2015,Europe,Albania,Male,15.9,15.89643
Healthy life expectancy (HALE) at birth (years),2019,Europe,Albania,Male,68.0,67.99864
Healthy life expectancy (HALE) at age 60 (years),2015,Europe,Albania,Female,17.5,17.4559
Healthy life expectancy (HALE) at birth (years),2019,Europe,Albania,Female,70.3,70.25225
Healthy life expectancy (HALE) at age 60 (years),2015,Europe,Albania,Both,16.7,16.66335
Healthy life expectancy (HALE) at birth (years),2019,Europe,Albania,Both,69.1,69.07545
Healthy life expectancy (HALE) at birth (years),2019,Eastern Mediterranean,United Arab Emirates,Male,65.8,65.84449
Healthy life expectancy (HALE) at age 60 (years),2019,Eastern Mediterranean,United Arab Emirates,Male,14.1,14.13019
Healthy life expectancy (HALE) at birth (years),2019,Eastern Mediterranean,United Arab Emirates,Female,66.2,66.18772
Healthy life expectancy (HALE) at age 60 (years),2019,Eastern Mediterranean,United Arab Emirates,Female,15.3,15.27073
Healthy life expectancy (HALE) at birth (years),2019,Eastern Mediterranean,United Arab Emirates,Both,66.0,65.99278
Healthy life expectancy (HALE) at age 60 (years),2019,Eastern Mediterranean,United Arab Emirates,Both,14.5,14.46595
Healthy life expectancy (HALE) at age 60 (years),2019,Americas,Argentina,Male,14.8,14.77404
Healthy life expectancy (HALE) at birth (years),2000,Americas,Argentina,Female,67.5,67.4618
Healthy life expectancy (HALE) at age 60 (years),2019,Americas,Argentina,Female,17.6,17.58443
Healthy life expectancy (HALE) at birth (years),2000,Americas,Argentina,Both,65.1,65.14491
Healthy life expectancy (HALE) at age 60 (years),2019,Americas,Argentina,Both,16.3,16.27429
Healthy life expectancy (HALE) at birth (years),2000,Europe,Armenia,Male,61.2,61.18815
Healthy life expectancy (HALE) at birth (years),2000,Europe,Armenia,Female,65.6,65.64015
Healthy life expectancy (HALE) at age 60 (years),2000,Europe,Armenia,Female,15.5,15.49272
Healthy life expectancy (HALE) at birth (years),2000,Europe,Armenia,Both,63.5,63.50006
Healthy life expectancy (HALE) at age 60 (years),2000,Europe,Armenia,Both,14.5,14.49536
Healthy life expectancy (HALE) at birth (years),2000,Americas,Antigua and Barbuda,Male,63.9,63.93232
Healthy life expectancy (HALE) at age 60 (years),2000,Americas,Antigua and Barbuda,Male,14.9,14.87113
Healthy life expectancy (HALE) at age 60 (years),2000,Americas,Antigua and Barbuda,Female,16.5,16.5022
Healthy life expectancy (HALE) at birth (years),2010,Americas,Antigua and Barbuda,Female,68.1,68.09175
Healthy life expectancy (HALE) at age 60 (years),2000,Americas,Antigua and Barbuda,Both,15.7,15.72777
Healthy life expectancy (HALE) at birth (years),2010,Americas,Antigua and Barbuda,Both,66.7,66.70147
Healthy life expectancy (HALE) at age 60 (years),2000,Western Pacific,Australia,Male,16.1,16.08546
Healthy life expectancy (HALE) at birth (years),2010,Western Pacific,Australia,Male,69.2,69.16231
Healthy life expectancy (HALE) at age 60 (years),2010,Western Pacific,Australia,Male,17.5,17.48182
Healthy life expectancy (HALE) at birth (years),2010,Western Pacific,Australia,Female,71.2,71.1886
Healthy life expectancy (HALE) at age 60 (years),2010,Western Pacific,Australia,Female,19.3,19.26858
Healthy life expectancy (HALE) at birth (years),2010,Western Pacific,Australia,Both,70.2,70.16705
Healthy life expectancy (HALE) at age 60 (years),2010,Western Pacific,Australia,Both,18.4,18.38645
Healthy life expectancy (HALE) at birth (years),2010,Europe,Austria,Male,68.3,68.33723
Healthy life expectancy (HALE) at age 60 (years),2010,Europe,Austria,Male,16.3,16.338
Healthy life expectancy (HALE) at birth (years),2015,Europe,Austria,Male,69.2,69.16929
Healthy life expectancy (HALE) at age 60 (years),2010,Europe,Austria,Female,19.1,19.14821
Healthy life expectancy (HALE) at birth (years),2015,Europe,Austria,Female,71.6,71.56104
Healthy life expectancy (HALE) at age 60 (years),2010,Europe,Austria,Both,17.8,17.83471
Healthy life expectancy (HALE) at birth (years),2015,Europe,Austria,Both,70.4,70.39115
Healthy life expectancy (HALE) at birth (years),2015,Europe,Azerbaijan,Male,61.5,61.49538
Healthy life expectancy (HALE) at age 60 (years),2015,Europe,Azerbaijan,Male,12.1,12.09003
Healthy life expectancy (HALE) at birth (years),2015,Europe,Azerbaijan,Female,64.7,64.71699
Healthy life expectancy (HALE) at age 60 (years),2015,Europe,Azerbaijan,Female,13.9,13.93332
Healthy life expectancy (HALE) at birth (years),2015,Europe,Azerbaijan,Both,63.1,63.09249
Healthy life expectancy (HALE) at age 60 (years),2015,Europe,Azerbaijan,Both,13.1,13.06042
Healthy life expectancy (HALE) at age 60 (years),2015,Africa,Burundi,Male,11.5,11.50195
Healthy life expectancy (HALE) at birth (years),2019,Africa,Burundi,Male,54.0,53.97522
Healthy life expectancy (HALE) at age 60 (years),2015,Africa,Burundi,Female,13.3,13.28422
Healthy life expectancy (HALE) at birth (years),2019,Africa,Burundi,Female,57.2,57.19762
Healthy life expectancy (HALE) at age 60 (years),2015,Africa,Burundi,Both,12.4,12.43473
Healthy life expectancy (HALE) at birth (years),2019,Africa,Burundi,Both,55.6,55.58415
Healthy life expectancy (HALE) at birth (years),2019,Europe,Belgium,Male,69.8,69.76391
Healthy life expectancy (HALE) at age 60 (years),2019,Europe,Belgium,Male,17.2,17.17159
Healthy life expectancy (HALE) at birth (years),2019,Europe,Belgium,Female,71.3,71.31464
Healthy life expectancy (HALE) at age 60 (years),2019,Europe,Belgium,Female,19.1,19.11056
Healthy life expectancy (HALE) at birth (years),2019,Europe,Belgium,Both,70.6,70.55695
Healthy life expectancy (HALE) at age 60 (years),2019,Europe,Belgium,Both,18.2,18.17444
Healthy life expectancy (HALE) at birth (years),2000,Africa,Benin,Male,48.4,48.43765
Healthy life expectancy (HALE) at age 60 (years),2019,Africa,Benin,Male,12.3,12.26186
Healthy life expectancy (HALE) at birth (years),2000,Africa,Benin,Female,50.7,50.69048
Healthy life expectancy (HALE) at age 60 (years),2019,Africa,Benin,Female,13.7,13.65891
Healthy life expectancy (HALE) at birth (years),2000,Africa,Benin,Both,49.6,49.58824
Healthy life expectancy (HALE) at age 60 (years),2019,Africa,Benin,Both,13.0,13.00527
Healthy life expectancy (HALE) at birth (years),2000,Africa,Burkina Faso,Male,43.9,43.90425
Healthy life expectancy (HALE) at age 60 (years),2000,Africa,Burkina Faso,Male,10.6,10.57411
Healthy life expectancy (HALE) at birth (years),2000,Africa,Burkina Faso,Female,45.7,45.73949
Healthy life expectancy (HALE) at age 60 (years),2000,Africa,Burkina Faso,Female,12.2,12.19648
Healthy life expectancy (HALE) at birth (years),2000,Africa,Burkina Faso,Both,44.9,44.87911
Healthy life expectancy (HALE) at age 60 (years),2000,Africa,Burkina Faso,Both,11.5,11.49203
Healthy life expectancy (HALE) at age 60 (years),2000,South-East Asia,Bangladesh,Male,13.0,13.02715
Healthy life expectancy (HALE) at birth (years),2010,South-East Asia,Bangladesh,Male,60.8,60.83444
Healthy life expectancy (HALE) at age 60 (years),2000,South-East Asia,Bangladesh,Female,13.6,13.64891
Healthy life expectancy (HALE) at birth (years),2010,South-East Asia,Bangladesh,Female,61.7,61.70806
Healthy life expectancy (HALE) at age 60 (years),2000,South-East Asia,Bangladesh,Both,13.3,13.31548
Healthy life expectancy (HALE) at birth (years),2010,South-East Asia,Bangladesh,Both,61.2,61.22227
Healthy life expectancy (HALE) at birth (years),2010,Europe,Bulgaria,Male,62.7,62.7197
Healthy life expectancy (HALE) at age 60 (years),2010,Europe,Bulgaria,Male,12.9,12.90611
Healthy life expectancy (HALE) at birth (years),2010,Europe,Bulgaria,Female,67.8,67.77296
Healthy life expectancy (HALE) at age 60 (years),2010,Europe,Bulgaria,Female,16.2,16.17179
Healthy life expectancy (HALE) at birth (years),2010,Europe,Bulgaria,Both,65.2,65.20113
Healthy life expectancy (HALE) at age 60 (years),2010,Europe,Bulgaria,Both,14.6,14.62451
Healthy life expectancy (HALE) at age 60 (years),2010,Eastern Mediterranean,Bahrain,Male,12.9,12.92366
Healthy life expectancy (HALE) at birth (years),2015,Eastern Mediterranean,Bahrain,Male,66.6,66.55479
Healthy life expectancy (HALE) at age 60 (years),2010,Eastern Mediterranean,Bahrain,Female,13.2,13.20685
Healthy life expectancy (HALE) at birth (years),2015,Eastern Mediterranean,Bahrain,Female,65.6,65.55331
Healthy life expectancy (HALE) at age 60 (years),2010,Eastern Mediterranean,Bahrain,Both,13.1,13.08049
Healthy life expectancy (HALE) at birth (years),2015,Eastern Mediterranean,Bahrain,Both,66.2,66.24379
Healthy life expectancy (HALE) at birth (years),2015,Americas,Bahamas,Male,62.2,62.18239
Healthy life expectancy (HALE) at age 60 (years),2015,Americas,Bahamas,Male,15.1,15.08654
Healthy life expectancy (HALE) at birth (years),2015,Americas,Bahamas,Female,66.2,66.15772
Healthy life expectancy (HALE) at age 60 (years),2015,Americas,Bahamas,Female,17.2,17.24261
Healthy life expectancy (HALE) at birth (years),2015,Americas,Bahamas,Both,64.2,64.17484
Healthy life expectancy (HALE) at age 60 (years),2015,Americas,Bahamas,Both,16.2,16.2278
Healthy life expectancy (HALE) at birth (years),2019,Americas,Bahamas,Both,64.4,64.35382
Healthy life expectancy (HALE) at age 60 (years),2015,Europe,Bosnia and Herzegovina,Male,13.9,13.8878
Healthy life expectancy (HALE) at birth (years),2019,Europe,Bosnia and Herzegovina,Male,65.7,65.65631
Healthy life expectancy (HALE) at age 60 (years),2015,Europe,Bosnia and Herzegovina,Female,16.1,16.07124
Healthy life expectancy (HALE) at birth (years),2019,Europe,Bosnia and Herzegovina,Female,68.7,68.68087
Healthy life expectancy (HALE) at birth (years),2019,Europe,Bosnia and Herzegovina,Both,67.2,67.18837
Healthy life expectancy (HALE) at age 60 (years),2019,Europe,Bosnia and Herzegovina,Both,15.2,15.21483
Healthy life expectancy (HALE) at birth (years),2019,Europe,Belarus,Male,62.3,62.3111
Healthy life expectancy (HALE) at age 60 (years),2019,Europe,Belarus,Male,12.3,12.29243
Healthy life expectancy (HALE) at birth (years),2019,Europe,Belarus,Female,69.4,69.3689
Healthy life expectancy (HALE) at age 60 (years),2019,Europe,Belarus,Female,17.2,17.22416
Healthy life expectancy (HALE) at age 60 (years),2019,Europe,Belarus,Both,15.1,15.10771
Healthy life expectancy (HALE) at birth (years),2000,Americas,Belize,Male,60.3,60.33562
Healthy life expectancy (HALE) at age 60 (years),2019,Americas,Belize,Male,15.9,15.8954
Healthy life expectancy (HALE) at birth (years),2000,Americas,Belize,Female,64.6,64.57263
Healthy life expectancy (HALE) at age 60 (years),2019,Americas,Belize,Female,17.6,17.6037
Healthy life expectancy (HALE) at birth (years),2000,Americas,Belize,Both,62.3,62.28884
Healthy life expectancy (HALE) at birth (years),2000,Americas,Bolivia (Plurinational State of),Male,57.6,57.61206
Healthy life expectancy (HALE) at age 60 (years),2000,Americas,Bolivia (Plurinational State of),Male,13.3,13.34274
Healthy life expectancy (HALE) at birth (years),2000,Americas,Bolivia (Plurinational State of),Female,58.2,58.1782
Healthy life expectancy (HALE) at age 60 (years),2000,Americas,Bolivia (Plurinational State of),Female,13.8,13.82291
Healthy life expectancy (HALE) at birth (years),2000,Americas,Bolivia (Plurinational State of),Both,57.9,57.89188
Healthy life expectancy (HALE) at age 60 (years),2000,Americas,Bolivia (Plurinational State of),Both,13.6,13.59084
Healthy life expectancy (HALE) at age 60 (years),2000,Americas,Brazil,Male,13.6,13.63506
Healthy life expectancy (HALE) at birth (years),2010,Americas,Brazil,Male,62.0,61.98848
Healthy life expectancy (HALE) at age 60 (years),2000,Americas,Brazil,Female,15.8,15.8047
Healthy life expectancy (HALE) at birth (years),2010,Americas,Brazil,Female,65.9,65.94711
Healthy life expectancy (HALE) at age 60 (years),2000,Americas,Brazil,Both,14.8,14.76356
Healthy life expectancy (HALE) at birth (years),2010,Americas,Brazil,Both,63.9,63.94749
Healthy life expectancy (HALE) at age 60 (years),2010,Americas,Brazil,Both,15.6,15.60943
Healthy life expectancy (HALE) at birth (years),2010,Americas,Barbados,Male,66.4,66.4408
Healthy life expectancy (HALE) at age 60 (years),2010,Americas,Barbados,Male,16.4,16.43344
Healthy life expectancy (HALE) at birth (years),2010,Americas,Barbados,Female,67.5,67.5163
Healthy life expectancy (HALE) at age 60 (years),2010,Americas,Barbados,Female,17.0,16.97523
Healthy life expectancy (HALE) at age 60 (years),2010,Americas,Barbados,Both,16.7,16.73466
Healthy life expectancy (HALE) at birth (years),2015,Americas,Barbados,Both,67.2,67.20808
Healthy life expectancy (HALE) at age 60 (years),2010,Western Pacific,Brunei Darussalam,Male,13.8,13.79561
Healthy life expectancy (HALE) at birth (years),2015,Western Pacific,Brunei Darussalam,Male,65.2,65.15843
Healthy life expectancy (HALE) at age 60 (years),2010,Western Pacific,Brunei Darussalam,Female,14.7,14.69248
Healthy life expectancy (HALE) at birth (years),2015,Western Pacific,Brunei Darussalam,Female,66.3,66.27635
Healthy life expectancy (HALE) at birth (years),2015,Western Pacific,Brunei Darussalam,Both,65.7,65.70512
Healthy life expectancy (HALE) at age 60 (years),2015,Western Pacific,Brunei Darussalam,Both,14.3,14.34635
Healthy life expectancy (HALE) at birth (years),2015,South-East Asia,Bhutan,Male,62.5,62.45887
Healthy life expectancy (HALE) at age 60 (years),2015,South-East Asia,Bhutan,Male,14.3,14.2644
Healthy life expectancy (HALE) at birth (years),2015,South-East Asia,Bhutan,Female,62.7,62.74086
Healthy life expectancy (HALE) at age 60 (years),2015,South-East Asia,Bhutan,Female,14.5,14.53389
